"","Day","Month","Year","SiteCode","Watershed","Ammonia","Nitrate","NPOC","Phosphorus","TDN","TN","TP","DON"
"1",1,4,15,"RB_1300E","Red Butte",0.008,2.1236,1.04,2.1236,2.86,2.9262,0.0079,0.7284
"2",1,4,15,"RB_1300S","Red Butte",0.0269,0.5801,2.29,0.5801,1.22,1.1678,0.018,0.613
"3",1,4,15,"RB_ARBR_AA","Red Butte",0.005,0.005,1.22,0.005,0.06,0.0947,0.0185,0.05
"4",1,4,15,"RB_CG_BA","Red Butte",0.005,0.005,1.46,0.005,0.15,0.1845,0.0515,0.14
"5",1,4,15,"RB_FD_AA","Red Butte",0.005,0.0085,1.81,0.0085,0.1,0.1519,0.0369,0.0865
"6",1,4,15,"RB_RBG_BA","Red Butte",0.0072,0.0092,1.47,0.0092,0.13,0.1552,0.0354,0.1136
"7",1,7,15,"RB_900W","Red Butte",0.1645,0.5779,5.712,0.5779,1.393,1.2417,0.0916,0.6506
"8",1,7,15,"RB_ARBR_AA","Red Butte",0.0204,0.0478,1.434,0.0478,0.127,0.1563,0.0361,0.0588
"9",1,7,15,"RB_CG_BA","Red Butte",0.0287,0.1302,2.523,0.1302,0.393,0.3515,0.0634,0.2341
"10",1,7,15,"RB_FD_AA","Red Butte",0.0085,0.1522,2.489,0.1522,0.32,0.3358,0.05,0.1593
"11",1,7,15,"RB_KF_BA","Red Butte",0.0062,0.0632,NA,0.0632,NA,0.1479,0.0442,NA
"12",1,7,15,"RB_LDS","Red Butte",0.0291,2.0098,NA,2.0098,NA,2.4334,0.0268,NA
"13",1,7,15,"RB_LDSWard","Red Butte",NA,NA,1.065,NA,2.566,NA,NA,NA
"14",1,7,15,"RB_RBG_BA","Red Butte",0.0307,0.1726,2.385,0.1726,0.298,0.3213,0.0398,0.0947
"15",1,7,15,"RB_Uknown","Red Butte",NA,NA,0.809,NA,0.134,NA,NA,NA
"16",1,9,14,"RB_1300E","Red Butte",NA,NA,2.317555556,NA,0.409222222,2.6438,0.0054,NA
"17",1,9,14,"RB_1300ESpring","Red Butte",0.0183,1.8007,NA,1.8007,NA,1.7541,0.005,NA
"18",1,9,14,"RB_1300S","Red Butte",0.0183,1.8007,5.238555556,1.8007,0.900888889,0.8862,0.052,-0.918111111
"19",1,9,14,"RB_ARBR_AA","Red Butte",0.0084,0.0465,0.804555556,0.0465,0.173222222,0.0845,0.0094,0.118322222
"20",1,9,14,"RB_CG_BA","Red Butte",0.0089,0.1063,0.878166667,0.1063,0.247333333,NA,NA,0.132133333
"21",1,9,14,"RB_FD_AA","Red Butte",0.0111,0.1177,0.872,0.1177,0.177777778,0.267,0.0421,0.048977778
"22",1,9,14,"RB_KF_BA","Red Butte",0.0186,0.0693,1.275666667,0.0693,0.180888889,0.2004,0.0208,0.092988889
"23",1,9,14,"RB_RBG_BA","Red Butte",0.0251,0.0863,5.832,0.0863,1.173111111,0.2266,0.0379,1.061711111
"24",1,9,14,"RB_TM","Red Butte",NA,NA,28.06188889,NA,11.97688889,NA,NA,NA
"25",1,10,14,"LR_Mendon_AA","Logan",0.0075,0.2233,1.092833333,0.005,0.312166667,0.4689,0.0125,0.081366667
"26",2,2,15,"LR_Franklin_BA","Logan",0.005,0.1148,NA,0.005,NA,0.1076,0.0134,NA
"27",2,2,15,"LR_MainSt_BA","Logan",0.0084,0.1733,NA,0.005,NA,0.2211,0.0076,NA
"28",2,2,15,"LR_Mendon_AA","Logan",0.0098,0.2119,NA,0.005,NA,0.0551,0.016,NA
"29",2,2,15,"LR_TonyGrove_BA","Logan",0.0061,0.0281,NA,0.005,NA,0.0885,0.0091,NA
"30",2,2,15,"LR_WaterLab_AA","Logan",0.0074,0.118,NA,0.005,NA,0.1518,0.0069,NA
"31",2,4,15,"LR_MainSt_BA","Logan",0.0078,0.0874,1.9,0.005,0.16,0.1775,0.0067,0.0648
"32",2,4,15,"LR_Mendon_AA","Logan",0.0083,0.0978,0.98,0.005,0.19,0.2093,0.01,0.0839
"33",2,4,15,"LR_TonyGrove_BA","Logan",0.0159,0.0574,2.7,0.005,0.14,0.1764,0.0139,0.0667
